type	parent	code	name
standing	AG00	AG00	Committee on Agriculture
subcommittee	AG00	AG03	Nutrition, Foreign Agriculture, and Horticulture
subcommittee	AG00	AG14	Conservation, Research, and Biotechnology
subcommittee	AG00	AG15	Forestry
subcommittee	AG00	AG16	General Farm Commodities, Risk Management, and Credit
subcommittee	AG00	AG22	Commodity Markets, Digital Assets, and Rural Development
subcommittee	AG00	AG29	Livestock, Dairy, and Poultry
standing	AP00	AP00	Committee on Appropriations
subcommittee	AP00	AP01	Agriculture, Rural Development, Food and Drug Administration, and Related Agencies
subcommittee	AP00	AP02	Defense
subcommittee	AP00	AP04	State, Foreign Operations, and Related Programs
subcommittee	AP00	AP06	Interior, Environment, and Related Agencies
subcommittee	AP00	AP07	Labor, Health and Human Services, Education, and Related Agencies
subcommittee	AP00	AP10	Energy and Water Development, and Related Agencies
subcommittee	AP00	AP15	Homeland Security
subcommittee	AP00	AP18	Military Construction, Veterans Affairs, and Related Agencies
subcommittee	AP00	AP19	Commerce, Justice, Science, and Related Agencies
subcommittee	AP00	AP20	Transportation, Housing and Urban Development, and Related Agencies
subcommittee	AP00	AP23	Financial Services and General Government
subcommittee	AP00	AP24	Legislative Branch
standing	AS00	AS00	Committee on Armed Services
subcommittee	AS00	AS02	Military Personnel
subcommittee	AS00	AS03	Readiness
subcommittee	AS00	AS25	Tactical Air and Land Forces
subcommittee	AS00	AS26	Intelligence and Special Operations
subcommittee	AS00	AS28	Seapower and Projection Forces
subcommittee	AS00	AS29	Strategic Forces
subcommittee	AS00	AS35	Cyber, Information Technologies, and  Innovation
standing	BA00	BA00	Committee on Financial Services
subcommittee	BA00	BA01	National Security, Illicit Finance, and  International Financial Institutions
subcommittee	BA00	BA04	Housing and Insurance
subcommittee	BA00	BA09	Oversight and Investigations
subcommittee	BA00	BA16	Capital Markets
subcommittee	BA00	BA20	Financial Institutions and Monetary Policy
subcommittee	BA00	BA21	Digital Assets, Financial Technology and Inclusion
standing	BU00	BU00	Committee on the Budget
standing	ED00	ED00	Committee on Education and the Workforce
subcommittee	ED00	ED02	Health, Employment, Labor, and Pensions
subcommittee	ED00	ED10	Workforce Protections
subcommittee	ED00	ED13	Higher Education and Workforce Development
subcommittee	ED00	ED14	Early Childhood, Elementary, and Secondary Education
standing	FA00	FA00	Committee on Foreign Affairs
subcommittee	FA00	FA05	Indo-Pacific
subcommittee	FA00	FA06	Global Health, Global Human Rights, and International Organizations
subcommittee	FA00	FA07	Western Hemisphere
subcommittee	FA00	FA13	Middle East, North Africa, and Central Asia
subcommittee	FA00	FA14	Europe
subcommittee	FA00	FA16	Africa
subcommittee	FA00	FA17	Oversight and Accountability
standing	GO00	GO00	Committee on Oversight and Accountability
subcommittee	GO00	GO05	Economic Growth, Energy Policy, and Regulatory Affairs
subcommittee	GO00	GO06	National Security, the Border, and Foreign Affairs
subcommittee	GO00	GO12	Cybersecurity, Information Technology, and Government Innovation
subcommittee	GO00	GO24	Government Operations and the Federal Workforce
subcommittee	GO00	GO27	Health Care and Financial Services
standing	HA00	HA00	Committee on House Administration
subcommittee	HA00	HA06	Oversight
subcommittee	HA00	HA08	Elections
subcommittee	HA00	HA27	Modernization
standing	HM00	HM00	Committee on Homeland Security
subcommittee	HM00	HM05	Counterterrorism, Law Enforcement, and Intelligence
subcommittee	HM00	HM07	Transportation and Maritime Security
subcommittee	HM00	HM08	Cybersecurity and Infrastructure Protection
subcommittee	HM00	HM09	Oversight, Investigations, and Accountability
subcommittee	HM00	HM11	Border Security and Enforcement
subcommittee	HM00	HM12	Emergency Management and Technology
standing	IF00	IF00	Committee on Energy and Commerce
subcommittee	IF00	IF02	Oversight and Investigations
subcommittee	IF00	IF03	Energy, Climate, and Grid Security
subcommittee	IF00	IF14	Health
subcommittee	IF00	IF16	Communications and Technology
subcommittee	IF00	IF17	Innovation, Data, and Commerce
