district	firstname	lastname	party	committee_leadership	committee_membership	UID
AK00	Mary	Peltola	D	[]	['II00_118', 'PW00_118', 'II10_118', 'II13_118', 'PW05_118', 'PW07_118']	P000619
AL01	Jerry	Carl	R	[]	['AP00_118', 'II00_118', 'AP01_118', 'AP04_118', 'AP23_118', 'II13_118', 'II24_118']	C001054
AL02	Barry	Moore	R	[]	['AG00_118', 'JU00_118', 'JU01_118', 'JU08_118']	M001212
AL03	Mike	Rogers	R	['AS00_118']	[]	R000575
AL04	Robert	Aderholt	R	['AP07_118']	['AP00_118', 'AP02_118', 'AP19_118']	A000055
AL05	Dale	Strong	R	[]	['AS00_118', 'HM00_118', 'SY00_118', 'AS03_118', 'AS29_118', 'AS35_118', 'HM09_118', 'HM12_118', 'SY16_118']	S001220
AL06	Gary	Palmer	R	[]	['GO00_118', 'IF00_118', 'GO24_118', 'IF02_118', 'IF03_118', 'IF18_118']	P000609
AL07	Terri	Sewell	D	['HA08_118']	['AS00_118', 'HA00_118', 'JL00_118', 'WM00_118', 'AS02_118', 'WM02_118', 'WM03_118', 'WM04_118']	S001185
AR01	Eric	Crawford	R	['IG01_118', 'PW12_118']	['AG00_118', 'IG00_118', 'PW00_118', 'SY00_118', 'IG04_118', 'PW05_118', 'SY15_118', 'SY18_118']	C001087
AR02	J.	Hill	R	['BA21_118']	['BA00_118', 'FA00_118', 'IG00_118', 'BA16_118', 'FA06_118', 'FA17_118', 'IG06_118']	H001072
AR03	Steve	Womack	R	['AP23_118']	['AP00_118', 'AP02_118', 'AP20_118']	W000809
AR04	Bruce	Westerman	R	['II00_118']	['PW00_118', 'PW02_118', 'PW05_118', 'PW14_118']	W000821
AQ00	Aumua Amata	Radewagen	R	[]	['FA00_118', 'II00_118', 'VR00_118', 'FA05_118', 'FA06_118', 'II13_118', 'II24_118', 'VR03_118', 'VR08_118']	R000600
AZ01	David	Schweikert	R	['WM06_118']	['WM00_118', 'WM01_118', 'WM05_118']	S001183
AZ02	Elijah	Crane	R	[]	['HM00_118', 'SM00_118', 'VR00_118', 'HM05_118', 'HM09_118', 'SM22_118', 'SM24_118', 'VR09_118', 'VR10_118']	C001132
AZ03	Ruben	Gallego	D	['AS26_118']	['AS00_118', 'II00_118', 'AS25_118', 'II13_118', 'II15_118', 'II24_118']	G000574
AZ04	Greg	Stanton	D	[]	['FA00_118', 'PW00_118', 'FA07_118', 'PW02_118', 'PW05_118', 'PW12_118']	S001211
AZ05	Andy	Biggs	R	['JU08_118']	['GO00_118', 'JU00_118', 'GO06_118', 'GO24_118', 'JU01_118']	B001302
AZ06	Juan	Ciscomani	R	[]	['AP00_118', 'VR00_118', 'AP07_118', 'AP20_118', 'AP23_118', 'VR09_118', 'VR10_118']	C001133
AZ07	Raúl	Grijalva	D	['II00_118']	['ED00_118', 'ED13_118', 'ED14_118', 'II06_118']	G000551
AZ08	Debbie	Lesko	R	[]	['IF00_118', 'VC00_118', 'IF02_118', 'IF03_118', 'IF17_118']	L000589
AZ09	Paul	Gosar	R	['II15_118']	['GO00_118', 'II00_118', 'GO06_118', 'GO27_118', 'II06_118']	G000565
CA01	Doug	LaMalfa	R	[]	['AG00_118', 'II00_118', 'PW00_118', 'II13_118', 'II24_118', 'PW02_118', 'PW12_118', 'PW14_118']	L000578
CA02	Jared	Huffman	D	['II13_118']	['II00_118', 'PW00_118', 'II06_118', 'PW02_118', 'PW12_118', 'PW13_118', 'PW14_118']	H001068
CA03	Kevin	Kiley	R	['ED10_118']	['ED00_118', 'JU00_118', 'ED14_118', 'JU03_118', 'JU08_118', 'JU10_118']	K000401
CA04	Mike	Thompson	D	['WM05_118']	['WM00_118', 'WM02_118']	T000460
CA05	Tom	McClintock	R	['JU01_118']	['BU00_118', 'II00_118', 'JU00_118', 'II10_118', 'II13_118', 'JU10_118']	M001177
CA06	Ami	Bera	D	['FA05_118']	['FA00_118', 'IG00_118', 'VC00_118', 'FA06_118', 'IG02_118', 'IG06_118']	B001287
