code	name	parent
SSCM00	Committee on Commerce, Science, and Transportation	
SSCM33	Subcommittee on Aviation Safety, Operations, and Innovation	SSCM00
SSCM34	Subcommittee on Communications, Media, and Broadband	SSCM00
SSCM35	Subcommittee on Consumer Protection, Product Safety, and Data Security	SSCM00
SSCM36	Subcommittee on Oceans, Fisheries, Climate Change, and Manufacturing	SSCM00
SSCM37	Subcommittee on Space and Science	SSCM00
SSCM38	Subcommittee on Surface Transportation, Maritime, Freight, and Ports	SSCM00
SSCM39	Subcommittee on Tourism, Trade, and Export Promotion	SSCM00
SSAP00	Committee on Appropriations	
SSAP01	Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies	SSAP00
SSAP16	Subcommittee on Commerce, Justice, Science, and Related Agencies	SSAP00
SSAP02	Subcommittee on Defense	SSAP00
SSAP22	Subcommittee on Energy and Water Development	SSAP00
SSAP23	Subcommittee on Financial Services and General Government	SSAP00
SSAP14	Subcommittee on Homeland Security	SSAP00
SSAP17	Subcommittee on Interior, Environment, and Related Agencies	SSAP00
SSAP18	Subcommittee on Labor, Health and Human Services, and Education, and Related Agencies	SSAP00
SSAP08	Subcommittee on Legislative Branch	SSAP00
SSAP19	Subcommittee on Military Construction, Veterans Affairs, and Related Agencies	SSAP00
SSAP20	Subcommittee on State, Foreign Operations, and Related Programs	SSAP00
SSAP24	Subcommittee on Transportation, Housing and Urban Development, and Related Agencies	SSAP00
SSHR00	Committee on Health, Education, Labor, and Pensions	
SSHR09	Subcommittee on Children and Families	SSHR00
SSHR11	Subcommittee on Employment and Workplace Safety	SSHR00
SSHR12	Subcommittee on Primary Health and Retirement Security	SSHR00
SSEG00	Committee on Energy and Natural Resources	
SSEG01	Subcommittee on Energy	SSEG00
SSEG04	Subcommittee on National Parks	SSEG00
SSEG03	Subcommittee on Public Lands, Forests, and Mining	SSEG00
SSEG07	Subcommittee on Water and Power	SSEG00
SSFI00	Committee on Finance	
SSFI12	Subcommittee on Energy, Natural Resources, and Infrastructure	SSFI00
SSFI14	Subcommittee on Fiscal Responsibility and Economic Growth	SSFI00
SSFI10	Subcommittee on Health Care	SSFI00
SSFI13	Subcommittee on International Trade, Customs, and Global Competitiveness	SSFI00
SSFI02	Subcommittee on Social Security, Pensions, and Family Policy	SSFI00
SSFI11	Subcommittee on Taxation and IRS Oversight	SSFI00
SSFR00	Committee on Foreign Relations	
SSFR09	Subcommittee on Africa and Global Health Policy	SSFR00
