state	firstname	lastname	party	committee_leadership	committee_membership
WI-Sen1	Tammy	Baldwin	D	['SSAP18_118']	['SSCM00_118', 'SSAP00_118', 'SSAP01_118', 'SSAP02_118', 'SSAP22_118', 'SSAP14_118', 'SSAP19_118', 'SSHR00_118']
WY-Sen1	John	Barrasso	R	['SSEG00_118']	['SSFI00_118', 'SSFI12_118', 'SSFI10_118', 'SSFI13_118', 'SSFR00_118']
CO-Sen3	Michael F.	Bennet	D	['SSFI11_118']	['SSFI00_118', 'SSFI12_118', 'SSFI13_118', 'SSAF00_118', 'SLIN00_118', 'SSRA00_118']
TN-Sen1	Marsha	Blackburn	R	[]	['SSCM00_118', 'SSFI00_118', 'SSFI10_118', 'SSFI02_118', 'SSFI11_118', 'SSVA00_118', 'SSJU00_118']
CT-Sen3	Richard	Blumenthal	D	['SSGA01_118']	['SSVA00_118', 'SSJU00_118', 'JCSE00_118', 'SSAS00_118', 'SSAS14_118', 'SSAS17_118', 'SSAS15_118', 'SSAS13_118', 'SCNC00_118', 'SPAG00_118', 'SSGA00_118', 'SSGA22_118']
NJ-Sen2	Cory A.	Booker	D	[]	['SSFR00_118', 'SSAF00_118', 'SSJU00_118', 'SSSB00_118']
AR-Sen3	John	Boozman	R	['SSAP19_118', 'SSAF00_118']	['SSAP00_118', 'SSAP02_118', 'SSAP23_118', 'SSAP18_118', 'SSAP20_118', 'SSAP24_118', 'SSVA00_118', 'JCSE00_118', 'SSEV00_118']
IN-Sen1	Mike	Braun	R	['SPAG00_118']	['SSHR00_118', 'SSAF00_118', 'SSBU00_118']
AL-Sen3	Katie Boyd	Britt	R	['SSAP14_118']	['SSAP00_118', 'SSAP16_118', 'SSAP22_118', 'SSAP17_118', 'SSAP18_118', 'SSRA00_118', 'SSBK00_118', 'SSBK08_118', 'SSBK09_118', 'SSBK05_118']
OH-Sen1	Sherrod	Brown	D	['SSFI02_118', 'SSBK00_118', 'SSBK12_118', 'SSBK08_118', 'SSBK09_118', 'SSBK05_118', 'SSBK04_118']	['SSFI00_118', 'SSFI13_118', 'SSAF00_118', 'SSVA00_118']
NC-Sen3	Ted	Budd	R	[]	['SSCM00_118', 'SSHR00_118', 'SSAS00_118', 'SSAS21_118', 'SSAS20_118', 'SSAS17_118', 'SSSB00_118']
WA-Sen1	Maria	Cantwell	D	['SSCM00_118']	['SSEG00_118', 'SSFI00_118', 'SSSB00_118', 'JSTX00_118', 'SLIA00_118']
WV-Sen2	Shelley Moore	Capito	R	['SSAP14_118', 'SSAP18_118', 'SSEV00_118']	['SSCM00_118', 'SSAP00_118', 'SSAP16_118', 'SSAP02_118', 'SSAP17_118', 'SSAP24_118', 'SSRA00_118']
MD-Sen1	Benjamin L.	Cardin	D	['SSFI10_118', 'JCSE00_118', 'SSSB00_118']	['SSFI00_118', 'SSFI13_118', 'SSFI11_118', 'SSFR00_118', 'SSEV00_118']
DE-Sen1	Thomas R.	Carper	D	['SSFI13_118', 'SSEV00_118']	['SSFI00_118', 'SSFI12_118', 'SSFI10_118', 'SSGA00_118', 'SSGA01_118', 'SSGA22_118']
PA-Sen1	Robert P., Jr.	Casey	D	['SPAG00_118']	['SSHR00_118', 'SSFI00_118', 'SSFI10_118', 'SSFI13_118', 'SSFI02_118', 'SLIN00_118']
LA-Sen2	Bill	Cassidy	R	['SSHR00_118']	['SSEG00_118', 'SSFI00_118', 'SSFI10_118', 'SSFI13_118', 'SSFI02_118', 'SSVA00_118']
ME-Sen2	Susan M.	Collins	R	['SSAP00_118', 'SSAP02_118', 'SSAP22_118', 'SSAP23_118', 'SSAP14_118', 'SSAP17_118', 'SSAP18_118', 'SSAP08_118', 'SSAP20_118']	['SSAP01_118', 'SSAP16_118', 'SSAP19_118', 'SSAP24_118', 'SSHR00_118', 'SLIN00_118']
DE-Sen2	Christopher A.	Coons	D	['SSAP20_118', 'SLET00_118']	['SSAP00_118', 'SSAP16_118', 'SSAP22_118', 'SSAP23_118', 'SSAP19_118', 'SSAP24_118', 'SSFR00_118', 'SSJU00_118', 'SSSB00_118']
TX-Sen2	John	Cornyn	R	['SSFI13_118']	['SSFI00_118', 'SSFI12_118', 'SSFI11_118', 'SLIN00_118', 'SSJU00_118', 'SCNC00_118']
NV-Sen3	Catherine	Cortez Masto	D	[]	['SSEG00_118', 'SSFI00_118', 'SSFI12_118', 'SSFI10_118', 'SSFI13_118', 'SSBK00_118', 'SSBK08_118', 'SSBK09_118', 'SSBK05_118', 'SLIA00_118']
AR-Sen2	Tom	Cotton	R	['SSAS14_118']	['SLIN00_118', 'SSJU00_118', 'SSAS00_118', 'SSAS20_118', 'SSAS16_118', 'JSEC00_118']
ND-Sen1	Kevin	Cramer	R	['SSAS13_118']	['SSVA00_118', 'SSAS00_118', 'SSAS15_118', 'SSAS16_118', 'SSEV00_118', 'SSBK00_118', 'SSBK08_118', 'SSBK05_118']
ID-Sen3	Mike	Crapo	R	['SSFI00_118', 'SSFI12_118', 'SSFI14_118', 'SSFI10_118', 'SSFI13_118', 'SSFI02_118', 'SSFI11_118']	['SSBU00_118', 'SSBK00_118', 'SSBK08_118', 'SSBK09_118', 'SSBK04_118', 'JSTX00_118']
TX-Sen1	Ted	Cruz	R	['SSCM00_118']	['SSFR00_118', 'SSRA00_118', 'SSJU00_118']
MT-Sen2	Steve	Daines	R	['SSFI10_118']	['SSEG00_118', 'SSFI00_118', 'SSFI12_118', 'SSFI13_118', 'SSBK00_118', 'SSBK12_118', 'SSBK05_118', 'SLIA00_118']
IL-Sen3	Tammy	Duckworth	D	[]	['SSCM00_118', 'SSFR00_118', 'SSAS00_118', 'SSAS14_118', 'SSAS21_118', 'SSAS17_118', 'SSAS15_118', 'SSSB00_118']
IL-Sen2	Richard J.	Durbin	D	['SSJU00_118']	['SSAP00_118', 'SSAP02_118', 'SSAP22_118', 'SSAP23_118', 'SSAP18_118', 'SSAP20_118', 'SSAP24_118', 'SSAF00_118']
IA-Sen2	Joni	Ernst	R	['SSAS20_118', 'SSSB00_118']	['SSAF00_118', 'SSAS00_118', 'SSAS14_118', 'SSAS21_118']
CA-Sen1	Dianne	Feinstein	D	['SSAP22_118']	['SSAP00_118', 'SSAP01_118', 'SSAP16_118', 'SSAP02_118', 'SSAP17_118', 'SSAP24_118', 'SLIN00_118', 'SSRA00_118', 'SSJU00_118']
PA-Sen3	John	Fetterman	D	[]	['SSAF00_118', 'SPAG00_118', 'SSEV00_118', 'SSBK00_118', 'SSBK12_118', 'SSBK08_118', 'SSBK09_118', 'JSEC00_118']
NE-Sen1	Deb	Fischer	R	['SSAP08_118', 'SSRA00_118', 'SSAS16_118']	['SSCM00_118', 'SSAP00_118', 'SSAP01_118', 'SSAP16_118', 'SSAP17_118', 'SSAP19_118', 'SSAF00_118', 'SSAS00_118', 'SSAS14_118', 'SSAS15_118', 'SLET00_118', 'JSPR00_118', 'JSLC00_118']
NY-Sen1	Kirsten E.	Gillibrand	D	['SSAS20_118']	['SSAF00_118', 'SLIN00_118', 'SSAS00_118', 'SSAS21_118', 'SSAS16_118', 'SPAG00_118']
SC-Sen2	Lindsey	Graham	R	['SSAP20_118', 'SSJU00_118']	['SSAP00_118', 'SSAP02_118', 'SSAP22_118', 'SSAP18_118', 'SSAP24_118', 'SSEV00_118', 'SSBU00_118']
IA-Sen3	Chuck	Grassley	R	['SSFI14_118', 'SCNC00_118', 'SSBU00_118']	['SSFI00_118', 'SSFI10_118', 'SSFI11_118', 'SSAF00_118', 'SSJU00_118', 'JSTX00_118']
TN-Sen2	Bill	Hagerty	R	['SSAP23_118', 'SSBK05_118']	['SSAP00_118', 'SSAP16_118', 'SSAP22_118', 'SSAP19_118', 'SSAP20_118', 'SSFR00_118', 'SSRA00_118', 'SSBK00_118', 'SSBK09_118', 'SSBK04_118', 'JSPR00_118']
NH-Sen3	Margaret Wood	Hassan	D	['SSFI14_118', 'SSGA20_118']	['SSHR00_118', 'SSFI00_118', 'SSFI10_118', 'SSFI02_118', 'SSVA00_118', 'SCNC00_118', 'SSGA00_118', 'SSGA01_118', 'JSEC00_118']
MO-Sen1	Josh	Hawley	R	[]	['SSEG00_118', 'SSJU00_118', 'SSGA00_118', 'SSGA01_118', 'SSSB00_118']
NM-Sen1	Martin	Heinrich	D	['SSAP01_118', 'JSEC00_118']	['SSAP00_118', 'SSAP22_118', 'SSAP23_118', 'SSAP17_118', 'SSAP19_118', 'SSEG00_118', 'SLIN00_118']
CO-Sen2	John W.	Hickenlooper	D	[]	['SSCM00_118', 'SSHR00_118', 'SSEG00_118', 'SSSB00_118']
HI-Sen1	Mazie K.	Hirono	D	['SSAS15_118']	['SSEG00_118', 'SSVA00_118', 'SSJU00_118', 'SSAS00_118', 'SSAS17_118', 'SSAS13_118', 'SSSB00_118']
