district,firstname,lastname,party
AK00,Mary,Peltola,D
AL01,Jerry,Carl,R
AL02,Barry,Moore,R
AL03,Mike,Rogers,R
AL04,Robert,Aderholt,R
AL05,Dale,Strong,R
AL06,Gary,Palmer,R
AL07,Terri,Sewell,D
AR01,Eric,Crawford,R
AR02,J.,Hill,R
AR03,Steve,Womack,R
AR04,Bruce,Westerman,R
AQ00,Aumua Amata,Radewagen,R
AZ01,David,Schweikert,R
AZ02,Elijah,Crane,R
AZ03,Ruben,Gallego,D
AZ04,Greg,Stanton,D
AZ05,Andy,Biggs,R
AZ06,Juan,Ciscomani,R
AZ07,Raúl,Grijalva,D
AZ08,Debbie,Lesko,R
AZ09,Paul,Gosar,R
CA01,Doug,LaMalfa,R
CA02,Jared,Huffman,D
CA03,Kevin,Kiley,R
CA04,Mike,Thompson,D
CA05,Tom,McClintock,R
CA06,Ami,Bera,D
CA07,Doris,Matsui,D
CA08,John,Garamendi,D
CA09,Josh,Harder,D
CA10,Mark,DeSaulnier,D
CA11,Nancy,Pelosi,D
CA12,Barbara,Lee,D
CA13,John,Duarte,R
CA14,Eric,Swalwell,D
CA15,Kevin,Mullin,D
CA16,Anna,Eshoo,D
CA17,Ro,Khanna,D
CA18,Zoe,Lofgren,D
CA19,Jimmy,Panetta,D
CA20,Kevin,McCarthy,R
CA21,Jim,Costa,D
CA22,David,Valadao,R
CA23,Jay,Obernolte,R
CA24,Salud,Carbajal,D
CA25,Raul,Ruiz,D
CA26,Julia,Brownley,D
CA27,Mike,Garcia,R
CA28,Judy,Chu,D
CA29,Tony,Cárdenas,D
CA30,Adam,Schiff,D
CA31,Grace,Napolitano,D
CA32,Brad,Sherman,D
CA33,Pete,Aguilar,D
CA34,Jimmy,Gomez,D
CA35,Norma,Torres,D
CA36,Ted,Lieu,D
CA37,Sydney,Kamlager-Dove,D
CA38,Linda,Sánchez,D
CA39,Mark,Takano,D
CA40,Young,Kim,R
CA41,Ken,Calvert,R
CA42,Robert,Garcia,D
CA43,Maxine,Waters,D
CA44,Nanette,Barragán,D
CA45,Michelle,Steel,R
CA46,J.,Correa,D
CA47,Katie,Porter,D
CA48,Darrell,Issa,R
CA49,Mike,Levin,D
CA50,Scott,Peters,D
CA51,Sara,Jacobs,D
CA52,Juan,Vargas,D
CO01,Diana,DeGette,D
CO02,Joe,Neguse,D
CO03,Lauren,Boebert,R
CO04,Ken,Buck,R
CO05,Doug,Lamborn,R
CO06,Jason,Crow,D
CO07,Brittany,Pettersen,D
CO08,Yadira,Caraveo,D
CT01,John,Larson,D
CT02,Joe,Courtney,D
CT03,Rosa,DeLauro,D
CT04,James,Himes,D
CT05,Jahana,Hayes,D
DC00,Eleanor,Norton,D
DE00,Lisa,Blunt Rochester,D
FL01,Matt,Gaetz,R
FL02,Neal,Dunn,R
FL03,Kat,Cammack,R
FL04,Aaron,Bean,R
FL05,John,Rutherford,R
FL06,Michael,Waltz,R
FL07,Cory,Mills,R
FL08,Bill,Posey,R
FL09,Darren,Soto,D
FL10,Maxwell,Frost,D
FL11,Daniel,Webster,R
FL12,Gus,Bilirakis,R
FL13,Anna Paulina,Luna,R
FL14,Kathy,Castor,D
FL15,Laurel,Lee,R
FL16,Vern,Buchanan,R
FL17,W.,Steube,R
FL18,C.,Franklin,R
FL19,Byron,Donalds,R
FL20,Sheila,Cherfilus-McCormick,D
FL21,Brian,Mast,R
FL22,Lois,Frankel,D
FL23,Jared,Moskowitz,D
FL24,Frederica,Wilson,D
FL25,Debbie,Wasserman Schultz,D
FL26,Mario,Diaz-Balart,R
FL27,Maria,Salazar,R
FL28,Carlos,Gimenez,R
GA01,Earl,Carter,R
GA02,Sanford,Bishop,D
GA03,A.,Ferguson,R
GA04,Henry,Johnson,D
GA05,Nikema,Williams,D
GA06,Richard,McCormick,R
GA07,Lucy,McBath,D
GA08,Austin,Scott,R
GA09,Andrew,Clyde,R
GA10,Mike,Collins,R
GA11,Barry,Loudermilk,R
GA12,Rick,Allen,R
GA13,David,Scott,D
GA14,Marjorie,Greene,R
GU00,James,Moylan,R
HI01,Ed,Case,D
HI02,Jill,Tokuda,D
IA01,Mariannette,Miller-Meeks,R
IA02,Ashley,Hinson,R
IA03,Zachary,Nunn,R
IA04,Randy,Feenstra,R
ID01,Russ,Fulcher,R
ID02,Michael,Simpson,R
IL01,Jonathan,Jackson,D
IL02,Robin,Kelly,D
IL03,Delia,Ramirez,D
IL04,Jesús,García,D
IL05,Mike,Quigley,D
IL06,Sean,Casten,D
IL07,Danny,Davis,D
IL08,Raja,Krishnamoorthi,D
IL09,Janice,Schakowsky,D
IL10,Bradley,Schneider,D
IL11,Bill,Foster,D
IL12,Mike,Bost,R
IL13,Nikki,Budzinski,D
IL14,Lauren,Underwood,D
IL15,Mary,Miller,R
IL16,Darin,LaHood,R
IL17,Eric,Sorensen,D
IN01,Frank,Mrvan,D
IN02,Rudy,Yakym,R
IN03,Jim,Banks,R
IN04,James,Baird,R
IN05,Victoria,Spartz,R
IN06,Greg,Pence,R
IN07,André,Carson,D
IN08,Larry,Bucshon,R
IN09,Erin,Houchin,R
KS01,Tracey,Mann,R
KS02,Jake,LaTurner,R
KS03,Sharice,Davids,D
KS04,Ron,Estes,R
KY01,James,Comer,R
KY02,Brett,Guthrie,R
KY03,Morgan,McGarvey,D
KY04,Thomas,Massie,R
KY05,Harold,Rogers,R
KY06,Andy,Barr,R
LA01,Steve,Scalise,R
LA02,Troy,Carter,D
LA03,Clay,Higgins,R
LA04,Mike,Johnson,R
LA05,Julia,Letlow,R
LA06,Garret,Graves,R
MA01,Richard,Neal,D
MA02,James,McGovern,D
MA03,Lori,Trahan,D
MA04,Jake,Auchincloss,D
MA05,Katherine,Clark,D
MA06,Seth,Moulton,D
MA07,Ayanna,Pressley,D
MA08,Stephen,Lynch,D
MA09,William,Keating,D
MD01,Andy,Harris,R
MD02,C.,Ruppersberger,D
MD03,John,Sarbanes,D
MD04,Glenn,Ivey,D
MD05,Steny,Hoyer,D
MD06,David,Trone,D
MD07,Kweisi,Mfume,D
MD08,Jamie,Raskin,D
ME01,Chellie,Pingree,D
ME02,Jared,Golden,D
MI01,Jack,Bergman,R
MI02,John,Moolenaar,R
MI03,Hillary,Scholten,D
MI04,Bill,Huizenga,R
MI05,Tim,Walberg,R
MI06,Debbie,Dingell,D
MI07,Elissa,Slotkin,D
MI08,Daniel,Kildee,D
MI09,Lisa,McClain,R
