state,firstname,lastname,party
WI-Sen1,Tammy,Baldwin,D
WY-Sen1,John,Barrasso,R
CO-Sen3,Michael F.,Bennet,D
TN-Sen1,Marsha,Blackburn,R
CT-Sen3,Richard,Blumenthal,D
NJ-Sen2,Cory A.,Booker,D
AR-Sen3,John,Boozman,R
IN-Sen1,Mike,Braun,R
AL-Sen3,Katie Boyd,Britt,R
OH-Sen1,Sherrod,Brown,D
NC-Sen3,Ted,Budd,R
WA-Sen1,Maria,Cantwell,D
WV-Sen2,Shelley Moore,Capito,R
MD-Sen1,Benjamin L.,Cardin,D
DE-Sen1,Thomas R.,Carper,D
PA-Sen1,"Robert P., Jr.",Casey,D
LA-Sen2,Bill,Cassidy,R
ME-Sen2,Susan M.,Collins,R
DE-Sen2,Christopher A.,Coons,D
TX-Sen2,John,Cornyn,R
NV-Sen3,Catherine,Cortez Masto,D
AR-Sen2,Tom,Cotton,R
ND-Sen1,Kevin,Cramer,R
ID-Sen3,Mike,Crapo,R
TX-Sen1,Ted,Cruz,R
MT-Sen2,Steve,Daines,R
IL-Sen3,Tammy,Duckworth,D
IL-Sen2,Richard J.,Durbin,D
IA-Sen2,Joni,Ernst,R
CA-Sen1,Dianne,Feinstein,D
PA-Sen3,John,Fetterman,D
NE-Sen1,Deb,Fischer,R
NY-Sen1,Kirsten E.,Gillibrand,D
SC-Sen2,Lindsey,Graham,R
IA-Sen3,Chuck,Grassley,R
TN-Sen2,Bill,Hagerty,R
NH-Sen3,Margaret Wood,Hassan,D
MO-Sen1,Josh,Hawley,R
NM-Sen1,Martin,Heinrich,D
CO-Sen2,John W.,Hickenlooper,D
HI-Sen1,Mazie K.,Hirono,D
ND-Sen3,John,Hoeven,R
MS-Sen2,Cindy,Hyde-Smith,R
WI-Sen3,Ron,Johnson,R
VA-Sen1,Tim,Kaine,D
AZ-Sen3,Mark,Kelly,D
LA-Sen3,John,Kennedy,R
ME-Sen1,"Angus S., Jr.",King,I
MN-Sen1,Amy,Klobuchar,D
OK-Sen3,James,Lankford,R
UT-Sen3,Mike,Lee,R
NM-Sen2,Ben Ray,Luján,D
WY-Sen2,Cynthia M.,Lummis,R
WV-Sen1,"Joe, III",Manchin,D
MA-Sen2,Edward J.,Markey,D
KS-Sen2,Roger,Marshall,R
KY-Sen2,Mitch,McConnell,R
NJ-Sen1,Robert,Menendez,D
OR-Sen2,Jeff,Merkley,D
KS-Sen3,Jerry,Moran,R
OK-Sen2,Markwayne,Mullin,R
AK-Sen3,Lisa,Murkowski,R
CT-Sen1,Christopher,Murphy,D
WA-Sen3,Patty,Murray,D
GA-Sen2,Jon,Ossoff,D
CA-Sen3,Alex,Padilla,D
KY-Sen3,Rand,Paul,R
MI-Sen2,Gary C.,Peters,D
RI-Sen2,Jack,Reed,D
NE-Sen2,Pete,Ricketts,R
ID-Sen2,James E.,Risch,R
UT-Sen1,Mitt,Romney,R
NV-Sen1,Jacky,Rosen,D
SD-Sen2,Mike,Rounds,R
FL-Sen3,Marco,Rubio,R
VT-Sen1,Bernard,Sanders,I
HI-Sen3,Brian,Schatz,D
MO-Sen3,Eric,Schmitt,R
NY-Sen3,Charles E.,Schumer,D
FL-Sen1,Rick,Scott,R
SC-Sen3,Tim,Scott,R
NH-Sen2,Jeanne,Shaheen,D
AZ-Sen1,Kyrsten,Sinema,I
MN-Sen2,Tina,Smith,D
MI-Sen1,Debbie,Stabenow,D
AK-Sen2,Dan,Sullivan,R
MT-Sen1,Jon,Tester,D
SD-Sen3,John,Thune,R
NC-Sen2,Thom,Tillis,R
AL-Sen2,Tommy,Tuberville,R
MD-Sen3,Chris,Van Hollen,D
OH-Sen3,J.D.,Vance,R
VA-Sen2,Mark R.,Warner,D
GA-Sen3,Raphael G.,Warnock,D
MA-Sen1,Elizabeth,Warren,D
VT-Sen3,Peter,Welch,D
RI-Sen1,Sheldon,Whitehouse,D
MS-Sen1,Roger F.,Wicker,R
OR-Sen3,Ron,Wyden,D
IN-Sen3,Todd,Young,R
