unitid,effydlev,xeydetot,efydetot,xeydeexc,efydeexc,xeydesom,efydesom,xeydenon,efydenon
100654,All students total,R,6628,R,1689.0,R,4694.0,R,245.0
100654,Undergraduate total,R,5529,R,1164.0,R,4207.0,R,158.0
100654,"Undergraduate, degree/certificate-seeking",R,5517,R,1156.0,R,4205.0,R,156.0
100654,"Undergraduate, non-degree/certificate-seeking",R,12,R,8.0,R,2.0,R,2.0
100654,Graduate,R,1099,R,525.0,R,487.0,R,87.0
100663,All students total,R,26327,R,7004.0,R,11971.0,R,7352.0
100663,Undergraduate total,R,15675,R,2742.0,R,9917.0,R,3016.0
100663,"Undergraduate, degree/certificate-seeking",R,15072,R,2587.0,R,9794.0,R,2691.0
100663,"Undergraduate, non-degree/certificate-seeking",R,603,R,155.0,R,123.0,R,325.0
100663,Graduate,R,10652,R,4262.0,R,2054.0,R,4336.0
100690,All students total,R,1087,R,1087.0,A,,A,
100690,Undergraduate total,R,373,R,373.0,A,,A,
100690,"Undergraduate, degree/certificate-seeking",R,373,R,373.0,A,,A,
100690,Graduate,R,714,R,714.0,A,,A,
100706,All students total,R,11318,R,3956.0,R,6861.0,R,501.0
100706,Undergraduate total,R,8886,R,2609.0,R,6023.0,R,254.0
100706,"Undergraduate, degree/certificate-seeking",R,8496,R,2410.0,R,5959.0,R,127.0
100706,"Undergraduate, non-degree/certificate-seeking",R,390,R,199.0,R,64.0,R,127.0
100706,Graduate,R,2432,R,1347.0,R,838.0,R,247.0
100724,All students total,R,4478,R,1346.0,R,2902.0,R,230.0
100724,Undergraduate total,R,3914,R,1024.0,R,2701.0,R,189.0
100724,"Undergraduate, degree/certificate-seeking",R,3913,R,1023.0,R,2701.0,R,189.0
100724,"Undergraduate, non-degree/certificate-seeking",R,1,R,1.0,R,0.0,R,0.0
100724,Graduate,R,564,R,322.0,R,201.0,R,41.0
100751,All students total,R,41992,R,9378.0,R,30543.0,R,2071.0
100751,Undergraduate total,R,34611,R,6220.0,R,27805.0,R,586.0
100751,"Undergraduate, degree/certificate-seeking",R,32964,R,4674.0,R,27735.0,R,555.0
100751,"Undergraduate, non-degree/certificate-seeking",R,1647,R,1546.0,R,70.0,R,31.0
100751,Graduate,R,7381,R,3158.0,R,2738.0,R,1485.0
100760,All students total,R,2108,R,1373.0,R,439.0,R,296.0
100760,Undergraduate total,R,2108,R,1373.0,R,439.0,R,296.0
100760,"Undergraduate, degree/certificate-seeking",R,1290,R,807.0,R,311.0,R,172.0
100760,"Undergraduate, non-degree/certificate-seeking",R,818,R,566.0,R,128.0,R,124.0
100812,All students total,R,3792,R,2209.0,R,1390.0,R,193.0
100812,Undergraduate total,R,3521,R,1939.0,R,1390.0,R,192.0
100812,"Undergraduate, degree/certificate-seeking",R,3320,R,1754.0,R,1385.0,R,181.0
100812,"Undergraduate, non-degree/certificate-seeking",R,201,R,185.0,R,5.0,R,11.0
100812,Graduate,R,271,R,270.0,R,0.0,R,1.0
100830,All students total,R,6141,R,1121.0,R,3758.0,R,1262.0
100830,Undergraduate total,R,5054,R,645.0,R,3314.0,R,1095.0
100830,"Undergraduate, degree/certificate-seeking",R,4694,R,498.0,R,3240.0,R,956.0
100830,"Undergraduate, non-degree/certificate-seeking",R,360,R,147.0,R,74.0,R,139.0
100830,Graduate,R,1087,R,476.0,R,444.0,R,167.0
100858,All students total,R,33175,R,2794.0,R,8584.0,R,21797.0
100858,Undergraduate total,R,26057,R,743.0,R,8042.0,R,17272.0
100858,"Undergraduate, degree/certificate-seeking",R,25827,R,743.0,R,8008.0,R,17076.0
100858,"Undergraduate, non-degree/certificate-seeking",R,230,R,0.0,R,34.0,R,196.0
100858,Graduate,R,7118,R,2051.0,R,542.0,R,4525.0
100937,All students total,R,1192,R,2.0,R,504.0,R,686.0
100937,Undergraduate total,R,1192,R,2.0,R,504.0,R,686.0
100937,"Undergraduate, degree/certificate-seeking",R,1178,R,0.0,R,504.0,R,674.0
100937,"Undergraduate, non-degree/certificate-seeking",R,14,R,2.0,R,0.0,R,12.0
101028,All students total,R,1898,R,424.0,R,1004.0,R,470.0
101028,Undergraduate total,R,1898,R,424.0,R,1004.0,R,470.0
101028,"Undergraduate, degree/certificate-seeking",R,1572,R,362.0,R,900.0,R,310.0
101028,"Undergraduate, non-degree/certificate-seeking",R,326,R,62.0,R,104.0,R,160.0
101116,All students total,R,604,R,219.0,R,178.0,R,207.0
101116,Undergraduate total,R,512,R,153.0,R,163.0,R,196.0
101116,"Undergraduate, degree/certificate-seeking",R,493,R,152.0,R,162.0,R,179.0
101116,"Undergraduate, non-degree/certificate-seeking",R,19,R,1.0,R,1.0,R,17.0
101116,Graduate,R,92,R,66.0,R,15.0,R,11.0
101143,All students total,R,2508,R,890.0,R,1023.0,R,595.0
101143,Undergraduate total,R,2508,R,890.0,R,1023.0,R,595.0
101143,"Undergraduate, degree/certificate-seeking",R,1710,R,482.0,R,826.0,R,402.0
101143,"Undergraduate, non-degree/certificate-seeking",R,798,R,408.0,R,197.0,R,193.0
101161,All students total,R,8971,R,1956.0,R,3478.0,R,3537.0
101161,Undergraduate total,R,8971,R,1956.0,R,3478.0,R,3537.0
101161,"Undergraduate, degree/certificate-seeking",R,6249,R,1360.0,R,3284.0,R,1605.0
101161,"Undergraduate, non-degree/certificate-seeking",R,2722,R,596.0,R,194.0,R,1932.0
101189,All students total,R,3670,R,1815.0,R,911.0,R,944.0
101189,Undergraduate total,R,2544,R,989.0,R,799.0,R,756.0
101189,"Undergraduate, degree/certificate-seeking",R,2274,R,977.0,R,792.0,R,505.0
101189,"Undergraduate, non-degree/certificate-seeking",R,270,R,12.0,R,7.0,R,251.0
101189,Graduate,R,1126,R,826.0,R,112.0,R,188.0
101240,All students total,R,5601,R,2067.0,R,2386.0,R,1148.0
101240,Undergraduate total,R,5601,R,2067.0,R,2386.0,R,1148.0
101240,"Undergraduate, degree/certificate-seeking",R,4795,R,1601.0,R,2249.0,R,945.0
101240,"Undergraduate, non-degree/certificate-seeking",R,806,R,466.0,R,137.0,R,203.0
101277,All students total,R,130,A,,A,,R,130.0
101277,Undergraduate total,R,130,A,,A,,R,130.0
101277,"Undergraduate, degree/certificate-seeking",C,130,A,,A,,C,130.0
101286,All students total,R,5088,R,1291.0,R,1988.0,R,1809.0
101286,Undergraduate total,R,5088,R,1291.0,R,1988.0,R,1809.0
101286,"Undergraduate, degree/certificate-seeking",R,4167,R,990.0,R,1774.0,R,1403.0
101286,"Undergraduate, non-degree/certificate-seeking",R,921,R,301.0,R,214.0,R,406.0
101295,All students total,R,6298,R,1406.0,R,3141.0,R,1751.0
101295,Undergraduate total,R,6298,R,1406.0,R,3141.0,R,1751.0
101295,"Undergraduate, degree/certificate-seeking",R,5444,R,1146.0,R,2875.0,R,1423.0
101295,"Undergraduate, non-degree/certificate-seeking",R,854,R,260.0,R,266.0,R,328.0
101301,All students total,R,2104,R,814.0,R,693.0,R,597.0
101301,Undergraduate total,R,2104,R,814.0,R,693.0,R,597.0
101301,"Undergraduate, degree/certificate-seeking",R,1401,R,469.0,R,572.0,R,360.0
101301,"Undergraduate, non-degree/certificate-seeking",R,703,R,345.0,R,121.0,R,237.0
101365,All students total,R,1215,R,403.0,R,353.0,R,459.0
101365,Undergraduate total,R,1196,R,384.0,R,353.0,R,459.0
101365,"Undergraduate, degree/certificate-seeking",R,1194,R,382.0,R,353.0,R,459.0
101365,"Undergraduate, non-degree/certificate-seeking",R,2,R,2.0,R,0.0,R,0.0
101365,Graduate,R,19,R,19.0,R,0.0,R,0.0
101435,All students total,R,995,R,164.0,R,184.0,R,647.0
101435,Undergraduate total,R,991,R,164.0,R,184.0,R,643.0
101435,"Undergraduate, degree/certificate-seeking",R,986,R,163.0,R,184.0,R,639.0
101435,"Undergraduate, non-degree/certificate-seeking",R,5,R,1.0,R,0.0,R,4.0
101435,Graduate,R,4,R,0.0,R,0.0,R,4.0
101453,All students total,R,150,R,111.0,R,18.0,R,21.0
101453,Undergraduate total,R,99,R,65.0,R,15.0,R,19.0
101453,"Undergraduate, degree/certificate-seeking",R,96,R,62.0,R,15.0,R,19.0
101453,"Undergraduate, non-degree/certificate-seeking",R,3,R,3.0,R,0.0,R,0.0
101453,Graduate,R,51,R,46.0,R,3.0,R,2.0
101462,All students total,R,1191,R,190.0,R,676.0,R,325.0
101462,Undergraduate total,R,1191,R,190.0,R,676.0,R,325.0
101462,"Undergraduate, degree/certificate-seeking",R,891,R,81.0,R,586.0,R,224.0
101462,"Undergraduate, non-degree/certificate-seeking",R,300,R,109.0,R,90.0,R,101.0
